id	species	morphology	voucher	country	location	depth_m	habitat	coordinates	collector	method	sampling_date	estimated_coverage_x	Q20	Q30	GC	read_files
GN2-6	P. norvegicus	morph_2	PMR VP6077	Norway	Fratfjord	41	sand, mud	58.8413889, 6.2790278	Rudolf Svensen	diving	2025.3.11	27,89	99,41	96,79	42,91	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/Pomatoschistus_Norway/F25A910000236_FISefmxR/GN2-6/E250171475_L01_9164_1.fq.gz;/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/Pomatoschistus_Norway/F25A910000236_FISefmxR/GN2-6/E250171475_L01_9164_2.fq.gz
GN2-5	P. norvegicus	morph_2	PMR VP6076	Norway	Hoegsfjorden	32	sand, mud	58.8948333, 6.1005000	Rudolf Svensen	diving	2025.3.4	27,25	99,37	96,46	42,53	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/Pomatoschistus_Norway/F25A910000236_FISefmxR/GN2-5/E250171475_L01_9165_1.fq.gz;/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/Pomatoschistus_Norway/F25A910000236_FISefmxR/GN2-5/E250171475_L01_9165_2.fq.gz
GN2-4	P. norvegicus	morph_2	PMR VP5131	Norway	Forsand	41	muddy sand	58.8948056, 6.1003889	Rudolf Svensen	diving	21.12.2021	24,89	99,34	96,28	42,28	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/Pomatoschistus_Norway/F25A910000236_FISefmxR/GN2-4/E250171475_L01_9166_1.fq.gz;/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/Pomatoschistus_Norway/F25A910000236_FISefmxR/GN2-4/E250171475_L01_9166_2.fq.gz
GN2-2	P. norvegicus	morph_2	PMR VP5096	Norway	Frafjord	40	muddy sand	58.8407778, 6.2792500	Rudolf Svensen	diving	28.9.2021	27,88	99,38	96,52	42,48	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/Pomatoschistus_Norway/F25A910000236_FISefmxR/GN2-2/E250171475_L01_9167_1.fq.gz;/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/Pomatoschistus_Norway/F25A910000236_FISefmxR/GN2-2/E250171475_L01_9167_2.fq.gz
GN2-1	P. norvegicus	morph_2	PMR VP4996	Norway	Forsand	36	muddy sand	58.8948056, 6.1003889	Rudolf Svensen	diving	21.4.2021	27,91	99,46	96,98	42,68	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/Pomatoschistus_Norway/F25A910000236_FISefmxR/GN2-1/E250171475_L01_9169_1.fq.gz;/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/Pomatoschistus_Norway/F25A910000236_FISefmxR/GN2-1/E250171475_L01_9169_2.fq.gz
PNor-7	P. norvegicus	morph_1	PMR VP6160	Norway	Rona, Kristiansand	25	mud	58.163137, 8.074771	Charlie Hank & Gry Villmo	angling	2025.4.16	27,89	99,3	96,08	41,86	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/Pomatoschistus_Norway/F25A910000236_FISefmxR/PNor-7/E250171475_L01_9170_1.fq.gz;/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/Pomatoschistus_Norway/F25A910000236_FISefmxR/PNor-7/E250171475_L01_9170_2.fq.gz
PNor-6	P. minutus	minutus	PMR VP5895	Norway	Skorpesundet See	22	sand/shellsand	62.3321944, 5.5243611	Asgeir Kvalsund	angling	2024.8.31	27,89	99,36	96,43	41,77	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/Pomatoschistus_Norway/F25A910000236_FISefmxR/PNor-6/E250171475_L01_9171_1.fq.gz;/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/Pomatoschistus_Norway/F25A910000236_FISefmxR/PNor-6/E250171475_L01_9171_2.fq.gz
PNor-4	P. norvegicus	morph_1	PMR VP5787	Norway	Sandefjorden, near Kjerringvik	15	sand	59.0604667, 10.2353667	Espen Krogh	angling	2024.5.10	27,9	99,35	96,41	41,93	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/Pomatoschistus_Norway/F25A910000236_FISefmxR/PNor-4/E250171475_L01_9172_1.fq.gz;/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/Pomatoschistus_Norway/F25A910000236_FISefmxR/PNor-4/E250171475_L01_9172_2.fq.gz
PNor-3	P. norvegicus	morph_1	PMR VP6075	Norway	Korsvik, Kristiansand	34	sand, mud	58.1409846, 8.0707720	Robert Eriksen	angling	2025.3.6	27,88	99,28	96,04	42,02	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/Pomatoschistus_Norway/F25A910000236_FISefmxR/PNor-3/E250171475_L01_9173_1.fq.gz;/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/Pomatoschistus_Norway/F25A910000236_FISefmxR/PNor-3/E250171475_L01_9173_2.fq.gz
PNor-2	P. norvegicus	morph_1	PMR VP5789	Norway	Sandefjorden, near Kjerringvik	18	sand/clay	59.0499500, 10.2306333	Espen Krogh	angling	2024.5.14	24,5	99,26	95,8	41,58	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/Pomatoschistus_Norway/F25A910000236_FISefmxR/PNor-2/E250171475_L01_9174_1.fq.gz;/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/Pomatoschistus_Norway/F25A910000236_FISefmxR/PNor-2/E250171475_L01_9174_2.fq.gz
PNor-1	P. norvegicus	morph_1	PMR VP5792	Norway	near Kristiansand	26	mud/sand	58.1888500, 8.0629333	Flemming Arhesen Gluch	angling	2024.6.16	27,92	99,33	96,27	42,38	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/Pomatoschistus_Norway/F25A910000236_FISefmxR/PNor-1/E250171475_L01_9175_1.fq.gz;/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/Pomatoschistus_Norway/F25A910000236_FISefmxR/PNor-1/E250171475_L01_9175_2.fq.gz
PM12	P. minutus	minutus	PMR VP4367/1	Norway	island Hundvåg, outside Stavanger city	0,5	sand, mud	59.0032500, 5.7145833	Rudolf Svensen	microfishing	2018.10.20	26,94	99,22	95,55	41,34	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/Pomatoschistus_Norway/F25A910000236_FISefmxR/PM12/E250171475_L01_9176_1.fq.gz;/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/Pomatoschistus_Norway/F25A910000236_FISefmxR/PM12/E250171475_L01_9176_2.fq.gz
PM9	P. minutus	minutus	PMR VP4367/2	Norway	island Hundvåg, outside Stavanger city	0,5	sand, mud	59.0032500, 5.7145833	Rudolf Svensen	microfishing	2018.10.20	27,92	99,38	96,51	41,84	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/Pomatoschistus_Norway/F25A910000236_FISefmxR/PM9/E250171475_L01_9177_1.fq.gz;/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/Pomatoschistus_Norway/F25A910000236_FISefmxR/PM9/E250171475_L01_9177_2.fq.gz
PM8	P. minutus	minutus	PMR VP4367/3	Norway	island Hundvåg, outside Stavanger city	0,5	sand, mud	59.0032500, 5.7145833	Rudolf Svensen	microfishing	2018.10.20	27,87	99,39	96,55	41,76	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/Pomatoschistus_Norway/F25A910000236_FISefmxR/PM8/E250171475_L01_9178_1.fq.gz;/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/Pomatoschistus_Norway/F25A910000236_FISefmxR/PM8/E250171475_L01_9178_2.fq.gz
PM7	P. minutus	minutus	PMR VP4825	Norway	Paal Brathetland	25	sand, mud	58.9494444, 6.1438889	Rudolf Svensen	handnet	2020.2.15	27,9	99,4	96,63	41,63	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/Pomatoschistus_Norway/F25A910000236_FISefmxR/PM7/E250171475_L01_9179_1.fq.gz;/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/Pomatoschistus_Norway/F25A910000236_FISefmxR/PM7/E250171475_L01_9179_2.fq.gz
PM6	P. minutus	minutus	PMR VP4648	Norway	between Forsan and Fossmork	20	sand	58.9493889, 6.1439167	Albin Dal	diving	2019.4.22	27,9	99,35	96,4	41,9	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/Pomatoschistus_Norway/F25A910000236_FISefmxR/PM6/E250171475_L01_9180_1.fq.gz;/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/Pomatoschistus_Norway/F25A910000236_FISefmxR/PM6/E250171475_L01_9180_2.fq.gz
PM5	P. minutus	minutus	PMR VP4139	Norway	Saltnesfeltet	15	sand	59.0041667, 5.7139444	Rudolf Svensen	diving	2017.11.8	27,87	99,43	96,82	41,55	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/Pomatoschistus_Norway/F25A910000236_FISefmxR/PM5/E250171475_L01_9181_1.fq.gz;/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/Pomatoschistus_Norway/F25A910000236_FISefmxR/PM5/E250171475_L01_9181_2.fq.gz
PM4	P. minutus	minutus	PMR VP6286	Norway	Andabøvika	27	sand, mud	62.3541389, 5.5996389	Asgeir Kvalsund	fishing	2025.9.14	27,89	99,35	96,39	41,81	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/Pomatoschistus_Norway/F25A910000236_FISefmxR/PM4/E250171475_L01_9182_1.fq.gz;/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/Pomatoschistus_Norway/F25A910000236_FISefmxR/PM4/E250171475_L01_9182_2.fq.gz
PM3	P. minutus	minutus	PMR VP6287	Norway	Andabøvika	27	sand, mud	62.3541389, 5.5996389	Asgeir Kvalsund	fishing	2025.9.14	27,88	99,39	96,64	41,98	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/Pomatoschistus_Norway/F25A910000236_FISefmxR/PM3/E250171475_L01_9183_1.fq.gz;/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/Pomatoschistus_Norway/F25A910000236_FISefmxR/PM3/E250171475_L01_9183_2.fq.gz
PLozanoi	P. lozanoi	lozanoi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/Pomatoschistus_Norway/Pomatoschistus_lozanoi_Uli/Pomatoschistus_lozanoi_GO1595_D20_EDSW200002578-1a_H2MKLDSXY_L2_1.fq.gz;/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/Pomatoschistus_Norway/Pomatoschistus_lozanoi_Uli/Pomatoschistus_lozanoi_GO1595_D20_EDSW200002578-1a_H2MKLDSXY_L2_2.fq.gz
