sample_id	group	species	population	read_files
GJ02	GJ	NA	NA	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/GJ02_R1_001.fastq.gz;/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/GJ02_R2_001.fastq.gz
GJ03	GJ	NA	NA	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/GJ03_R1_001.fastq.gz;/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/GJ03_R2_001.fastq.gz
GJ04	GJ	NA	NA	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/GJ04_R1_001.fastq.gz;/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/GJ04_R2_001.fastq.gz
GJ06	GJ	NA	NA	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/GJ06_R1_001.fastq.gz;/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/GJ06_R2_001.fastq.gz
GJ07	GJ	NA	NA	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/GJ07_R1_001.fastq.gz;/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/GJ07_R2_001.fastq.gz
GJ08	GJ	NA	NA	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/GJ08_R1_001.fastq.gz;/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/GJ08_R2_001.fastq.gz
GJ10	GJ	NA	NA	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/GJ10_R1_001.fastq.gz;/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/GJ10_R2_001.fastq.gz
PEKM01	PEKM	NA	NA	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/PEKM01_R1_001.fastq.gz;/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/PEKM01_R2_001.fastq.gz
PEKM02	PEKM	NA	NA	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/PEKM02_R1_001.fastq.gz;/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/PEKM02_R2_001.fastq.gz
PEKM03	PEKM	NA	NA	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/PEKM03_R1_001.fastq.gz;/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/PEKM03_R2_001.fastq.gz
PEKM04	PEKM	NA	NA	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/PEKM04_R1_001.fastq.gz;/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/PEKM04_R2_001.fastq.gz
PEKM05	PEKM	NA	NA	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/PEKM05_R1_001.fastq.gz;/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/PEKM05_R2_001.fastq.gz
PEKM06	PEKM	NA	NA	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/PEKM06_R1_001.fastq.gz;/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/PEKM06_R2_001.fastq.gz
PEKM07	PEKM	NA	NA	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/PEKM07_R1_001.fastq.gz;/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/PEKM07_R2_001.fastq.gz
PEKM08	PEKM	NA	NA	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/PEKM08_R1_001.fastq.gz;/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/PEKM08_R2_001.fastq.gz
PTN01	PTN	NA	NA	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/PTN01_R1_001.fastq.gz;/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/PTN01_R2_001.fastq.gz
PTN02	PTN	NA	NA	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/PTN02_R1_001.fastq.gz;/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/PTN02_R2_001.fastq.gz
PTN03	PTN	NA	NA	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/PTN03_R1_001.fastq.gz;/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/PTN03_R2_001.fastq.gz
PTN04	PTN	NA	NA	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/PTN04_R1_001.fastq.gz;/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/PTN04_R2_001.fastq.gz
PTN05	PTN	NA	NA	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/PTN05_R1_001.fastq.gz;/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/PTN05_R2_001.fastq.gz
PTN06	PTN	NA	NA	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/PTN06_R1_001.fastq.gz;/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/PTN06_R2_001.fastq.gz
PTN07	PTN	NA	NA	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/PTN07_R1_001.fastq.gz;/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/PTN07_R2_001.fastq.gz
PTN08	PTN	NA	NA	/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/PTN08_R1_001.fastq.gz;/scratch/antwerpen/grp/asvardal/projects/clingfishes/raw_reads/parastromatus/1.RAW_DATA/PTN08_R2_001.fastq.gz
